Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
30/09/21,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,TSLA
01/10/21,259.4666748046875,260.2600098,254.52999877929688,258.40667724609375,258.40667724609375,51094200,TSLA
04/10/21,265.5,268.9899902,258.7066650390625,260.5100098,260.5100098,91449900,TSLA
05/10/21,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,TSLA
06/10/21,258.73333740234375,262.2200012207031,257.7399902,260.9166564941406,260.9166564941406,43898400,TSLA
07/10/21,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,TSLA
08/10/21,265.4033203,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,TSLA
11/10/21,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,TSLA
12/10/21,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,TSLA
13/10/21,270.15667724609375,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,TSLA
14/10/21,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,TSLA
15/10/21,274.5799865722656,281.07000732421875,274.1166687011719,281.0100098,281.0100098,56773800,TSLA
18/10/21,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,TSLA
19/10/21,292.5100098,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,TSLA
20/10/21,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,TSLA
21/10/21,285.3333435058594,300,285.1666564941406,298,298,94444500,TSLA
22/10/21,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,TSLA
25/10/21,316.84332275390625,348.3399963378906,314.73333740234375,341.6199951171875,341.6199951171875,188556300,TSLA
26/10/21,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,TSLA
27/10/21,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,TSLA
28/10/21,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,TSLA
